,Year,Total,theology, law,Social and economic sciences,Human medicine,Humanities,Natural Sciences,Engineering,Mining sciences,Land sciences,Veterinary medicine,Arts,Study irregulare; not assignable
0,2020,26583,133,2398,4445,1250,6816,4584,4378,517,1180,141,646,96
1,2019,25619,126,2314,4252,1255,6312,4266,4541,528,1156,149,621,100
2,2018,26116,135,2240,4371,1271,6771,4266,4438,451,1246,114,703,111
3,2017,25792,139,2250,4622,1178,6433,4181,4274,426,1411,116,655,107
4,2016,26823,153,2115,4814,1185,6369,4734,4807,433,1261,128,720,104
5,2015,26075,125,2006,4869,1138,6903,4031,4451,441,1190,99,720,102
6,2014,26186,164,2031,4509,1070,6463,4396,4605,381,1291,98,702,476
7,2013,29178,138,1938,5261,1007,9492,4454,4172,327,1144,135,690,420
8,2012,27316,149,1841,5522,1198,7856,4087,4004,299,1201,136,760,263
9,2011,25149,153,1934,5455,1274,6092,3801,3786,326,1058,171,779,320
10,2010,22978,130,1764,4749,1569,5498,3511,3365,345,883,155,742,267
11,2009,22924,165,1690,4547,1658,5837,3536,3291,277,830,140,746,207
12,2008,20349,155,1521,4245,1737,4920,3024,2735,246,700,175,726,165
13,2007,18950,156,1414,4337,1397,4322,2748,2662,224,588,222,739,141
14,2006,18944,155,1454,4302,1481,4134,2994,2731,223,417,217,656,180
15,2005,18276,169,1643,4135,1518,3935,2761,2457,189,399,180,698,162
16,2004,17897,187,1697,4362,1398,3603,2588,2376,233,395,169,599,290
17,2003,16717,157,1806,3412,1749,3802,1973,2309,156,493,191,534,135
18,2002,15003,182,2004,2959,1017,3667,1622,2094,169,442,226,514,107
19,2001,15267,181,2131,2784,1381,3311,1654,2374,179,495,240,458,79
20,2000,13754,190,1968,2792,1045,2682,1466,2239,163,478,204,451,76
21,1999,14043,203,1894,2668,1129,3116,1582,2069,238,425,207,452,60
22,1998,14148,188,1900,2858,939,2854,1636,2367,169,513,239,408,77
23,1997,14419,225,1846,2762,974,2861,1588,2650,158,482,382,432,59
24,1996,12905,212,1653,2553,936,2463,1449,2243,137,458,274,446,81
25,1995,12455,214,1542,2533,1009,2542,1291,2028,139,406,245,450,56
26,1994,12139,249,1427,2395,1031,2545,1269,1916,154,443,200,446,64
27,1993,11322,195,1401,2125,1082,2327,1235,1750,127,441,186,394,59
28,1992,10950,210,1266,2077,1160,2225,1273,1661,106,344,193,399,36
29,1991,10642,218,1194,2032,1311,2068,1226,1535,104,331,172,403,48
30,1990,10335,211,1210,1852,1383,1947,1114,1480,96,338,145,518,41
31,1989,9427,237,1061,1653,1419,1790,975,1291,93,217,123,511,57
32,1988,9603,267,992,1522,1470,2022,961,1335,89,284,136,451,74
33,1987,9038,212,969,1497,1419,1733,1006,1235,88,226,129,460,64
34,1986,8417,195,897,1331,1388,1539,933,1144,71,237,137,471,74
35,1985,8512,178,991,1293,1557,1469,1006,1098,76,217,99,437,91
36,1984,8097,203,1072,1138,1420,1489,926,989,79,192,120,411,58
37,1983,7763,137,904,1084,1301,1468,943,997,78,192,113,469,77
38,1982,7663,187,979,1009,1231,1412,1035,967,68,150,153,409,63
39,1981,7226,129,883,926,1015,1411,939,1076,56,119,158,436,78
40,1980,6897,142,678,964,1004,1378,961,1000,48,126,110,449,37
41,1979,6343,177,554,851,932,1258,956,906,53,120,113,394,29
42,1978,6144,132,453,931,808,1270,986,887,60,105,123,361,28
43,1977,5975,138,492,942,806,1183,918,894,69,101,79,335,18
44,1976,5569,146,356,848,811,1028,880,841,54,93,79,403,30
45,1975,5383,157,407,904,724,935,828,817,44,106,91,351,19
46,1974,5014,136,519,773,643,882,752,770,39,127,66,284,23
47,1973,4753,173,484,767,528,782,602,848,59,151,48,294,17
48,1972,4921,132,583,793,526,872,585,852,95,146,44,285,8
