,B,K,Nö,Oö,S,St,T,V,W,Bundes­weit
0,0,0,0,0,0,0,2,0,0,2
1,0,0,0,0,0,0,2,0,0,2
2,0,0,0,0,0,0,2,0,2,4
3,0,0,0,0,0,0,2,0,3,5
4,0,0,2,0,1,1,2,0,4,10
5,0,0,2,0,1,1,2,0,4,10
6,0,0,2,0,2,3,2,0,9,18
7,0,0,5,0,3,4,2,0,15,29
8,0,1,12,0,4,4,3,1,16,41
9,0,1,15,1,5,5,4,1,23,55
10,4,1,23,4,5,6,7,1,28,79
11,4,1,31,7,7,8,8,1,32,99
12,4,1,36,11,9,16,16,3,35,131
13,4,1,40,22,12,17,32,11,43,182
14,4,3,45,35,14,25,57,13,50,246
15,6,3,51,58,19,33,109,16,66,361
16,7,4,63,84,23,52,167,22,82,504
17,10,5,82,116,30,71,206,34,101,655
18,10,6,111,159,39,111,254,48,122,860
19,10,18,152,202,58,139,254,55,128,1016
20,11,27,216,248,66,171,328,99,166,1332
21,20,41,256,305,89,220,382,124,209,1646
22,29,50,305,371,127,282,464,151,234,2013
23,33,71,355,421,167,340,508,197,296,2388
24,54,83,394,548,185,388,575,228,359,2814
25,63,105,446,628,269,423,644,263,403,3244
26,71,122,564,707,372,486,803,323,476,3924
27,84,141,620,795,429,558,1253,379,617,4876
28,89,161,750,915,516,627,1393,407,702,5560
29,115,183,873,1054,591,699,1623,435,825,6398
30,138,202,1140,1217,687,759,1752,501,1003,7399
31,142,221,1262,1332,751,828,1846,549,1046,(f)7995(f)
32,159,239,1350,1451,798,915,1944,579,1101,8536
33,179,261,1533,1535,855,958,2205,616,1235,9377
34,182,273,1616,1596,911,1049,2323,646,1378,9974
35,188,293,1685,1671,955,1113,2414,666,1497,10.482
36,201,300,1738,1781,994,1158,2531,681,1583,10.967
37,206,304,1828,1836,1038,1205,2595,710,1661,11.383
38,224,310,1860,1890,1059,1263,2658,722,1679,11.665
39,226,319,1903,1932,1069,1311,2704,742,1701,11.907
40,228,328,1994,1963,1083,1339,2774,754,1743,12.206
41,234,341,2071,1991,1094,1372,2835,768,1813,12.519
42,242,353,2122,2037,1119,1423,2903,793,1860,12.852
43,245,365,2169,2079,1134,1458,2996,800,1892,13.138
44,253,373,2206,2100,1152,1484,3163,809,1952,13.492
45,259,382,2274,2115,1154,1515,3257,825,1995,13.776
46,260,384,2325,2120,1159,1538,3278,830,2000,13.894
47,268,386,2343,2127,1169,1560,3299,832,2015,13.999
48,271,386,2387,2140,1174,1588,3328,832,2053,14.159
49,278,388,2415,2162,1178,1600,3352,847,2101,14.321
50,286,389,2436,2174,1186,1617,3392,852,2119,14.451
51,289,394,2461,2183,1190,1631,3406,854,2145,14.553
52,298,394,2469,2199,1191,1646,3415,855,2170,14.637
53,302,394,2476,2200,1199,1652,3417,858,2198,14.696
54,307,394,2495,2205,1201,1663,3427,859,2204,14.755
55,310,402,2500,2211,1206,1665,3433,863,2220,14.810
56,311,402,2519,2218,1205,1679,3440,868,2247,14.889
57,314,402,2531,2222,1206,1693,3445,869,2281,14.963
58,B,K,Nö,Oö,S,St,T,V,W,Bundes­weit
